"","Xysmalobium gerrardii","Sisyranthus trichostomus","Pachycarpus natalensis","Asclepias woodii","Miraglossum verticillare","Xysmalobium involucratum","Aspidonepsis diploglossa","Miraglossum pilosum","Asclepias cucullata"
"Aspilocoryphus fasciativentris",139,1,4,0,1,1,0,0,1
"Hemipepsis hilaris",41,2,20,0,18,1,0,9,0
"Atrichelaphinis tigrina",15,35,0,15,1,6,0,0,0
"Sarcophaga sp1 M_PL_013",53,0,11,1,6,1,0,0,0
"Cyrtothyrea marginalis",6,42,0,8,1,0,0,0,0
"Diptera sp3 M_PL_013",15,0,1,1,1,0,0,0,0
"Unidentified sp15 M_PL_013",4,10,0,0,0,1,0,0,0
"Unidentified sp20 M_PL_013",8,0,1,0,1,2,0,0,0
"Unidentified sp6 M_PL_013",0,0,9,1,0,0,2,0,0
"Unidentified sp19 M_PL_013",4,0,0,0,0,4,0,0,0
"Unidentified sp25 M_PL_013",6,2,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_013",1,0,0,1,0,3,1,0,0
"Apis mellifera",3,1,0,0,0,0,1,0,0
"Musca domestica",3,0,0,0,0,0,2,0,0
"Unidentified sp13 M_PL_013",3,0,0,0,0,1,0,0,0
"Unidentified sp33 M_PL_013",3,0,0,0,0,1,0,0,0
"Unidentified sp9 M_PL_013",0,0,0,0,0,4,0,0,0
"Unidentified sp11 M_PL_013",1,1,0,0,0,1,0,0,0
"Unidentified sp12 M_PL_013",3,0,0,0,0,0,0,0,0
"Unidentified sp28 M_PL_013",0,0,1,0,0,0,0,0,2
"Unidentified sp10 M_PL_013",0,0,1,0,0,1,0,0,0
"Unidentified sp16 M_PL_013",0,0,0,2,0,0,0,0,0
"Unidentified sp17 M_PL_013",2,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_013",0,0,0,0,0,0,2,0,0
"Unidentified sp30 M_PL_013",1,0,0,0,0,0,1,0,0
"Unidentified sp38 M_PL_013",0,0,0,0,0,0,0,0,2
"Unidentified sp5 M_PL_013",1,0,0,0,0,1,0,0,0
"Unidentified sp7 M_PL_013",2,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_013",2,0,0,0,0,0,0,0,0
"Actea sp1 M_PL_013",1,0,0,0,0,0,0,0,0
"Arge sp1 M_PL_013",0,1,0,0,0,0,0,0,0
"Dacus sp1 M_PL_013",0,0,1,0,0,0,0,0,0
"Diptera sp1 M_PL_013",0,1,0,0,0,0,0,0,0
"Diptera sp2 M_PL_013",0,0,1,0,0,0,0,0,0
"Homoecerus annulatus",0,0,1,0,0,0,0,0,0
"Microphthalma sp1 M_PL_013",0,0,1,0,0,0,0,0,0
"Microphthalma sp2 M_PL_013",1,0,0,0,0,0,0,0,0
"Spilostethus rivularis",0,0,1,0,0,0,0,0,0
"Tiphia sp1 M_PL_013",0,0,0,1,0,0,0,0,0
"Unidentified sp1 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp14 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp18 M_PL_013",0,1,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp22 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp24 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp26 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp27 M_PL_013",0,0,0,0,0,0,1,0,0
"Unidentified sp29 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_013",0,0,0,0,0,0,0,0,1
"Unidentified sp31 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp32 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp34 M_PL_013",0,0,0,0,0,1,0,0,0
"Unidentified sp35 M_PL_013",0,0,0,0,1,0,0,0,0
"Unidentified sp36 M_PL_013",1,0,0,0,0,0,0,0,0
"Unidentified sp37 M_PL_013",0,1,0,0,0,0,0,0,0
