"","Azorina vidalii","Crithmum maritimum","Daucus carota","Leucanthemum vulgare","Lotus corniculatus","Freesia sp1 M_PL_036","Reseada luteola","Silene vulgaris","Solidago sempervirens","Beta maritima"
"Unidentified sp1 M_PL_036",1,0,1,1,0,0,1,1,1,0
"Unidentified sp2 M_PL_036",1,1,1,1,0,0,0,0,0,0
"Unidentified sp3 M_PL_036",1,1,0,0,0,0,0,1,0,1
"Apis mellifera",1,0,0,0,1,0,1,0,0,0
"Bombus sp1 M_PL_036",1,0,0,0,1,1,0,0,0,0
"Unidentified sp4 M_PL_036",1,0,0,0,1,1,0,0,0,0
"Lucilia sp1 M_PL_036",0,1,1,0,0,0,0,0,0,0
"Calliphora sp1 M_PL_036",1,0,0,0,0,0,0,0,0,0
"Moth sp1 M_PL_036",0,0,0,0,0,0,0,0,1,0
"Unidentified sp5 M_PL_036",0,0,0,1,0,0,0,0,0,0
"Unidentified sp6 M_PL_036",0,1,0,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_036",1,0,0,0,0,0,0,0,0,0
